Price,Address,Bedrooms,Description,Postcode
825000,"Edenvale Street, Fulham Sands End, SW6 2SE",2,"A well presented 2 bedroom flat with generous private garden. Having entered through your own private entrance and past the 2 double bedrooms, the property boasts an open-plan kitchen/reception room that works perfect...",SW6
825000,"Haredon Close, Forest Hill, London, SE23 3TG",4,"This stunning and versatile mid-century, end of terraced house comes with four bedrooms, a landscaped garden, off street parking for two cars and is situated on a peaceful cul de sac. The house is also one of the larg...",SE23
825000,"Rochelle Close, Battersea Clapham Junction, SW11 2RX",3,"A 3 bedroom Freehold house with private garden. The house is laid out over three floors and contains 3 double bedrooms, 3 bathrooms and a separate WC. The first floor is an open plan kitchen with reception room and t...",SW11
825000,"Kingshurst Road, London, SE12 9LD",5,"A beautiful five bedroom, extended 1930s semi-detached family home is now available on the quiet and peaceful Kingshurst Road. This extended property is in very good decorative order with features including, high ce...",SE12
825000,"Chilton Street, London, E2 6DZ",3,"***Book online 24/7 with Purplebricks app*** A fantastic opportunity to own this well-maintained 3-bedroom townhouse, now ready to view. Boasting 1,123 approx of great living space, in our opinion this large home is...",E2
820000,"28 Hillcrest Road, London, W5 1HH",3,"Recently refurbished, bright and spacious 3 bedroom flat on 6th floor of a popular block with secure gated access. Far reaching views over Hanger Hill Park , Harrow, Wembley Stadium and the communal swimming pool. ...",W5
820000,"Brantwood Gardens, Enfield, EN2 7LZ",3,Wonderful opportunity to purchase this stunning extended 3 bedroom semi detached house. The property boasts of a large extended kitchen/diner with generous reception room to rear. Downstairs w.c and front reception r...,EN2
818000,"Cotton Row, Battersea Riverside, SW11 3YS",2,"A beautifully presented two double-bedroom apartment with private balcony and direct river views, in a popular riverside development in SW11. It is one of the largest properties in the building at over 1,000 sq ft an...",SW11
815000,"Fergus Street, London, SE10 0XQ",3,The Property Purplebricks are delighted to bring to market this stunning three bedroom house located in the ever popular Greenwich Peninsula. The property has been maintained to a high level and briefly comprises o...,SE10
810000,"Lescombe Road, London, SE23 2RP",3,"This beautifully renovated 3-bedroom terraced house on Lescombe Road is the perfect place to call home. The property has been fully rewired, and boasts new heating with radiators, new windows, insulation and board, as...",SE23
800000,"2 Artichoke Hill, London, E1W 2BA",3,Visit PURPLEBRICKS.CO.UK 24/7 to make arrangements to view! Occupying part of the fourth floor of this popular modern development and with a sumptuous living space (spanning nearly 1300sq ft) this beautifully present...,E1
800000,"Brassey Road, West Hampstead, NW6 2BA",4,"Well proportioned four bedroom mid terrace townhouse with private gardens to front and rear, superbly located close to West Hampstead station and amenities. The property offers bright, well maintained accommodation a...",NW6
800000,"Devonshire Road, London, W5 4TP",3,"Devonshire Road is a tree-lined residential street situated within Ealing's sought-after Northfield's area., located between Northfields Avenue and Trent Avenue. Surrounded by the green spaces of Lammas, Blondin and E...",W5
800000,"Naylor Road, Peckham, London, SE15 1QH",3,"A great family home situated within an area that has seen a lot of regeneration is this three bedroom, freehold, Victorian terraced house. Located in the sought after SE15 postcode the home consists of three double be...",SE15
800000,"Holyport Road, London, SW6 6LJ",3,A bright and spacious upper floor apartment located on a prestigious private development on the banks of the River Thames within walking distance to Charing Cross Hospital. The property boasts three good size bedroom...,SW6
800000,"Chesholm Road, Stoke Newington, N16 0DS",3,"** OPEN DAY SATURDAY 17TH SEPTEMBER 10:30 AM - 1:30 PM ** ** Viewing By Appointment Only ** A stunning two/three bedroom split level maisonette with private terrace, enviably located over the top two floors of an att...",N16
800000,"2 Station Approach, London, N12 7EZ",3,"**RARELY AVAILABLE**SOUGHT AFTER** CHAIN FREE** A stunning three double bedroom SUBSTANTIAL apartment measuring approximately 1200 sq ft set within a desirable modern building, enviably located moments from Woodside P...",N12
800000,"Lanhill Road, London, W9 2BP",2,"We are pleased to offer this spacious and recently refurbished two bedroom garden flat with conservatory ideally located in fashionable Maida Vale. Consisting of a large reception room, an open plan fitted kitchen, t...",W9
800000,"Cranleigh Gardens, London, N21 1DS",3,"Offered with no onward chain is a spacious three bedroom semi-detached bungalow. Boasting circa 1,500sq ft of internal floor space. Located on a highly sought after residential road, close to Grange Park station. The ...",N21
800000,"Borneo Street, London, SW15 1QQ",3,"A very well presented 3 bedroom first floor flat in a great area. As well as the two double bedrooms there is also a small bedroom 3 or study room. Currently tenanted, the property has been beautifully maintained an...",SW15
795000,"Stafford Place, Westminster, SW1E 6NL",1,"Superbly located just moments' from Buckingham Palace and St James' Park, this elegant one double bedroom apartment is set within an impressive red brick property. The property offers bright and spacious accommodatio...",SW1
795000,"18 Rochester Row, London, SW1P 1BS",2,"Offered with no chain, a beautifully presented, bright, spacious, 2 double bedroom, 5th floor apartment with open-plan kitchen/dining/living. Underfloor heating throughout. The property is located within easy reach ...",SW1
780000,"London Road, Peterborough, PE7 3TB",5,"Barrack Masters Lodge is an exemplary Grade II Listed character property which was built on the site of the former Norman Cross depot for prisoners of the Napoleonic war, which operated from 1796 through to 1814. Th...",PE7
780000,"Shelley Avenue, London, E12 6SP",4,"**GUIDE PRICE £780,000 - £790,000** ** Book viewings 24/7 instantly by visiting our website Purplebricks.co.uk or download our App ** This is a fantastic opportunity to own a rare to the market double fronted four b...",E12
775000,"Bethnal Green, London, E2 6QD",2,"** GUIDE PRICE £775,000 - £785,000** The Property: Nestled in a private gated development is this superb three storey mews style house. The property offers flexible accommodation and in full comprises: ground floor d...",E2
775000,"Fitzjames Avenue, West Kensington, W14 0RY",2,"A well presented ground floor flat in a popular, period mansion block with porter. You enter into a large hallway which could be used as a study or dining area then along the hallway to a kitchen/breakfast room, recep...",W14
775000,"Hazelwood Lane, London, N13 5EX",3,**CHAIN FREE** A charming and EXTENDED three/four bedroom semi-detached house enviably located moments from Palmers Greens vibrant high street and within walking distance to Palmers Green Overground Station. The pro...,N13
775000,"Spezia Road, Kensal Green, NW10 4QJ",4,"Stunning four bedroom split level period style maisonette with delightful private garden, conveniently situated in a tree-lined residential road close to Harlesden and Kensal Green. The property has been superbly mai...",NW10
772500,"Wingate Square, Clapham Old Town, SW4 0AF",2,"A beautifully finished top floor, 2 bed, 2 bath apartment in the most prestigious and quiet block within the award-winning Wingate Square development in Clapham Old Town, overlooking Grafton Square. This unique resid...",SW4
760000,"Southbury Road, Enfield, EN1 1QP",6,"**OFFERED CHAIN FREE**ENHANCED 3D TOUR AVAILABLE** A STUNNING, EXTREAMELY VERSATILE six/seven bedroom property which can be converted into THREE SELF CONTAINED FLATS (separate boilers and facilities on each floor - ST...",EN1
759500,"Orchard Gate, Greenford, UB6 0QW",6,"Purplebricks are proud to present this opportunity to acquire this sought-after six bedroom semi-detached house. Externally, the property comprises of a blocked paved front driveway and a good-sized rear garden encomp...",UB6
755000,"Pendennis Road, Tottenham, N17 6LJ",4,"An extremely well presented four bedroom two bathroom terraced period home. This property offers: extension, large modern kitchen, spacious throughout, open plan living space, scope to extend further (STPP) Pendenn...",N17
750000,"1 Hope Close, Hendon, NW4 1AY",3,"***Internal Viewing Highly Recommended*** Purple Bricks presents a very spacious 3 bedroom Penthouse with a large terrace within a very modern, newly built private development of Asprey Park located close to great t...",NW4
750000,"Wood Vale, London, SE23 3DS",2,"Ready to move into is this cosy two-bedroom bungalow, located in the sought-after residential area of Forest Hill, and placed within the heart of the town and with ample amenities within proximity, making this propert...",SE23
750000,"Cambridge Park, Twickenham, TW1 2JQ",2,A wonderful opportunity to purchase a two double bedroom top floor apartment set within the peaceful surroundings of seven acres of stunning landscaped gardens extending to the River Thames and overlooking Marble Hill...,TW1
750000,"Myrtle Road, London, W3 6EA",3,"An immaculately presented and fully refurbished 3 double bedroom maisonette with private roof terrace in the heart of Poets Corner, Acton just a stone’s throw from the shops, restaurants and bars of Churchfield Road. ...",W3
750000,"Larkwood Avenue, London, SE10 8GE",3,We are delighted to bring to market this exceptional three bedroom duplex penthouse on the top (thirteenth and fourteenth) floors of the Parkside Development in Greenwich. The property offers an extremely bright and ...,SE10
750000,"Dorchester Avenue, Harrow, HA2 7AZ",4,"This extended four/five bedroom semi-detached house in Harrow provides a spacious and well-balanced family home in great condition, close to transport links, popular schools and amenities. The ground floor includes a...",HA2
750000,"65 River Gardens Walk, London, SE10 0TZ",2,"We are delighted to bring to the market this stunning two bedroom, two bathroom apartment in Greenwich. Located within the ever popular River Gardens riverside development comes this stunning seventh floor apartment ...",SE10
750000,"Bracewell Road, London, W10 6AE",2,"This property currently comprises two spacious double bedrooms, beautifully laid out bathroom, a bright and sunny reception room with a bay window as well as a large separate kitchen with terrace. The property also in...",W10
750000,"Wilmer Way, London, N14 7JB",3,"**GUIDE PRICE - £750,000 - £800,000**NO ONWARD CHAIN** A Stunning NEWLY BUILT two/three double bedroom end of terrace house, enviably located within walking distance to the open green spaces of beautiful Broomfield Pa...",N14
